"","type","is_practice","click_values","payoff_matrix","cost_matrix","weights","weights_deviation","trial_num","selected_option","gross_earnings","net_earnings","click_cost","uncovered_values","num_values_revealed","nudge_type","num_baskets","num_features","reaction_time","points_click_cost","points_action_utility","points_metalevel_reward","problem_id","trial_type","trial_index","time_elapsed","participant_id"
"1","mouselab","True","[6, 6, 21, 21, 16, 16, 11, 11]","[[7, 5, 6, 8, 5], [5, 4, 5, 2, 6], [5, 2, 5, 6, 3], [6, 6, 7, 4, 4], [6, 0, 4, 5, 6]]","[[0, 0, 2, 0, 2], [2, 2, 2, 2, 2], [2, 2, 0, 2, 2], [0, 2, 2, 2, 2], [2, 2, 2, 2, 0]]","[9, 7, 2, 9, 3]",14,1,1,0.044,0.0413333333333333,0.00266666666666667,"[6, 21, 16, 11]",4,"random",5,5,19689,8,131,123,704596,"attentional-mouselab",4,208716,0
"2","mouselab","True","[9, 9, 14, 14, 19, 19]","[[4, 3, 7, 5, 7], [5, 4, 4, 3, 4], [3, 3, 4, 5, 8], [4, 4, 4, 6, 4], [6, 3, 6, 6, 2]]","[[2, 2, 2, 2, 0], [2, 0, 2, 2, 2], [2, 0, 2, 2, 2], [2, 0, 2, 2, 2], [2, 0, 2, 2, 0]]","[1, 21, 3, 4, 1]",30,2,4,0.044,0.042,0.002,"[9, 14, 19]",3,"random",5,5,10359,6,133,127,363314,"attentional-mouselab",5,221216,0
"3","mouselab","False","[6, 6, 11, 11, 16, 16]","[[5, 5, 6, 6, 9], [6, 6, 5, 4, 5], [7, 7, 5, 4, 5], [3, 7, 5, 9, 6], [5, 7, 6, 2, 3]]","[[2, 0, 2, 2, 0], [2, 2, 0, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 0, 2], [2, 0, 2, 0, 2]]","[9, 4, 5, 5, 7]",8,3,1,0.063,0.061,0.002,"[6, 11, 16]",3,"extreme",5,5,7792,6,188,182,482537,"attentional-mouselab",7,239917,0
"4","mouselab","False","[2, 2]","[[3, 7, 3, 4, 3], [5, 3, 8, 2, 4], [8, 3, 6, 5, 8], [4, 6, 6, 4, 5], [6, 5, 8, 7, 4]]","[[2, 2, 2, 2, 0], [2, 2, 0, 2, 2], [2, 2, 0, 2, 2], [2, 2, 0, 2, 2], [2, 2, 0, 2, 0]]","[1, 2, 2, 19, 6]",26,4,2,0.064,0.0633333333333333,0.000666666666666667,"[2]",1,"greedy",5,5,7059,2,193,191,733392,"attentional-mouselab",8,249648,0
"5","mouselab","False","[23, 23, 18, 18, 13, 13, 3, 3, 4, 4, 9, 9, 14, 14, 19, 19, 16, 16, 11, 6, 6, 6, 11, 1, 1, 7, 7, 17, 17, 20, 20, 15, 15, 10, 10, 10, 5, 5, 0, 0]","[[4, 3, 7, 5, 4], [5, 7, 6, 6, 6], [4, 4, 9, 5, 5], [7, 4, 4, 7, 5], [4, 5, 8, 2, 4]]","[[2, 2, 0, 2, 2], [2, 2, 2, 0, 2], [2, 2, 0, 2, 2], [2, 2, 2, 2, 2], [2, 0, 0, 2, 0]]","[8, 3, 13, 5, 1]",18,5,2,0.073,0.0603333333333333,0.0126666666666667,"[23, 18, 13, 3, 4, 9, 14, 19, 16, 6, 11, 1, 7, 17, 20, 15, 10, 5, 0]",19,"greedy",5,5,40102,38,219,181,720649,"attentional-mouselab",9,292173,0
"6","mouselab","False","[0, 0, 0, 20, 20]","[[4, 6, 7, 5, 4], [8, 6, 7, 5, 1], [5, 4, 5, 5, 6], [6, 1, 5, 2, 6], [5, 6, 4, 3, 5]]","[[2, 2, 0, 2, 0], [0, 2, 0, 2, 2], [0, 2, 2, 2, 2], [0, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[1, 11, 8, 8, 2]",18,6,0,0.063,0.0616666666666667,0.00133333333333333,"[0, 20]",2,"greedy",5,5,5396,4,190,186,249498,"attentional-mouselab",10,299237,0
"7","mouselab","False","[23, 23, 18, 18, 13, 13, 8, 8, 3, 3]","[[3, 2, 5, 6, 5], [6, 7, 4, 1, 6], [5, 6, 3, 4, 3], [4, 6, 5, 3, 6], [2, 4, 4, 6, 3]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [0, 2, 0, 2, 0], [0, 0, 2, 2, 2], [2, 2, 0, 2, 2]]","[1, 5, 7, 4, 13]",16,7,3,0.043,0.0396666666666667,0.00333333333333333,"[23, 18, 13, 8, 3]",5,"random",5,5,7747,10,129,119,950355,"attentional-mouselab",11,308607,0
"8","mouselab","False","[13, 13, 8, 8]","[[4, 3, 5, 7, 6], [1, 5, 5, 5, 8], [5, 7, 5, 6, 4], [4, 3, 6, 7, 7], [5, 3, 3, 8, 2]]","[[2, 2, 2, 0, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [0, 2, 2, 0, 0], [0, 2, 2, 0, 2]]","[4, 19, 3, 3, 1]",26,8,3,0.057,0.0556666666666667,0.00133333333333333,"[13, 8]",2,"greedy",5,5,4351,4,170,166,419683,"attentional-mouselab",12,314627,0
"9","mouselab","False","[6, 6, 6, 11, 11, 21, 21]","[[3, 2, 5, 3, 3], [2, 6, 8, 3, 3], [6, 8, 4, 3, 5], [6, 5, 1, 3, 4], [4, 7, 2, 2, 6]]","[[2, 0, 2, 2, 0], [0, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 0, 0, 0, 2], [2, 2, 2, 2, 2]]","[14, 3, 3, 6, 4]",16,9,1,0.043,0.041,0.002,"[6, 11, 21]",3,"extreme",5,5,6679,6,128,122,529562,"attentional-mouselab",13,323659,0
"10","mouselab","False","[7, 7, 2, 2]","[[3, 5, 6, 9, 4], [7, 2, 6, 5, 6], [5, 6, 9, 6, 2], [4, 6, 6, 8, 2], [3, 6, 2, 5, 5]]","[[2, 2, 2, 2, 2], [0, 0, 2, 0, 0], [2, 2, 2, 2, 0], [2, 2, 2, 2, 2], [0, 2, 2, 2, 2]]","[8, 5, 3, 10, 4]",12,10,2,0.058,0.0566666666666667,0.00133333333333333,"[7, 2]",2,"random",5,5,10928,4,173,169,852576,"attentional-mouselab",14,336616,0
"11","mouselab","False","[]","[[3, 8, 9, 4, 6], [4, 6, 7, 5, 6], [5, 6, 3, 5, 7], [1, 6, 6, 9, 4], [5, 4, 3, 4, 7]]","[[2, 2, 2, 2, 0], [2, 0, 2, 2, 0], [2, 0, 2, 2, 0], [2, 2, 2, 2, 2], [2, 2, 2, 2, 0]]","[5, 6, 10, 7, 2]",10,11,2,0.055,0.055,0,"[]",0,"greedy",5,5,1810,0,165,165,112816,"attentional-mouselab",15,343803,0
"12","mouselab","False","[]","[[8, 5, 6, 4, 3], [6, 6, 4, 8, 9], [7, 2, 3, 2, 4], [7, 6, 4, 2, 4], [6, 4, 3, 6, 5]]","[[0, 2, 2, 2, 2], [2, 2, 0, 2, 2], [0, 2, 2, 0, 2], [0, 0, 2, 2, 2], [2, 2, 2, 2, 2]]","[4, 1, 5, 19, 1]",26,12,0,0.071,0.071,0,"[]",0,"greedy",5,5,1990,0,212,212,334267,"attentional-mouselab",16,348198,0
"13","mouselab","False","[]","[[1, 3, 4, 4, 4], [3, 8, 5, 5, 4], [3, 5, 5, 3, 6], [3, 4, 10, 7, 6], [5, 6, 4, 5, 2]]","[[0, 2, 2, 2, 0], [2, 0, 2, 2, 2], [2, 2, 2, 0, 0], [2, 2, 0, 2, 2], [2, 2, 2, 2, 2]]","[2, 10, 9, 3, 6]",14,13,2,0.052,0.052,0,"[]",0,"extreme",5,5,2040,0,157,157,73210,"attentional-mouselab",17,351846,0
"14","mouselab","False","[]","[[8, 6, 5, 5, 2], [6, 4, 7, 3, 7], [7, 7, 4, 2, 7], [2, 3, 4, 4, 7], [6, 6, 10, 3, 5]]","[[0, 2, 2, 0, 2], [2, 2, 2, 2, 2], [0, 2, 2, 2, 2], [0, 2, 2, 2, 2], [2, 0, 0, 2, 2]]","[1, 3, 15, 3, 8]",22,14,3,0.027,0.027,0,"[]",0,"extreme",5,5,1691,0,80,80,639434,"attentional-mouselab",18,354969,0
"15","mouselab","False","[]","[[0, 4, 4, 5, 4], [6, 6, 7, 4, 6], [5, 6, 5, 5, 6], [7, 3, 5, 6, 8], [8, 3, 6, 5, 5]]","[[0, 0, 2, 2, 2], [2, 2, 2, 2, 2], [0, 2, 2, 2, 2], [2, 2, 2, 2, 0], [0, 2, 2, 2, 0]]","[2, 3, 2, 11, 12]",22,15,4,0.062,0.062,0,"[]",0,"extreme",5,5,1380,0,186,186,576457,"attentional-mouselab",19,358149,0
"16","mouselab","False","[]","[[5, 1, 3, 8, 6], [1, 6, 6, 4, 4], [5, 5, 2, 8, 7], [5, 8, 7, 8, 3], [6, 5, 7, 4, 5]]","[[2, 0, 2, 0, 2], [0, 2, 2, 0, 2], [2, 2, 0, 2, 2], [2, 0, 2, 2, 2], [2, 2, 2, 2, 2]]","[4, 4, 10, 6, 6]",8,16,0,0.047,0.047,0,"[]",0,"extreme",5,5,1536,0,140,140,826055,"attentional-mouselab",20,361465,0
"17","mouselab","False","[]","[[8, 6, 7, 4, 4], [10, 2, 6, 6, 3], [5, 8, 7, 6, 4], [6, 3, 5, 1, 5], [8, 6, 2, 3, 7]]","[[0, 2, 2, 2, 2], [0, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 0, 2], [0, 0, 2, 2, 0]]","[7, 14, 1, 2, 6]",18,17,0,0.087,0.087,0,"[]",0,"extreme",5,5,1246,0,261,261,992293,"attentional-mouselab",21,364469,0
"18","mouselab","False","[]","[[6, 2, 6, 3, 4], [4, 3, 4, 5, 6], [4, 2, 5, 3, 6], [5, 5, 3, 3, 5], [6, 5, 5, 6, 7]]","[[2, 0, 2, 0, 2], [2, 2, 2, 2, 2], [2, 2, 0, 2, 0], [2, 0, 2, 2, 2], [0, 2, 2, 2, 2]]","[2, 9, 11, 5, 3]",16,18,4,0.058,0.058,0,"[]",0,"random",5,5,2872,0,174,174,890280,"attentional-mouselab",22,369022,0
"19","mouselab","False","[]","[[8, 8, 6, 2, 5], [4, 7, 6, 6, 8], [1, 3, 3, 6, 3], [1, 2, 3, 3, 5], [5, 4, 7, 3, 5]]","[[0, 2, 2, 2, 2], [2, 2, 2, 2, 2], [0, 0, 2, 0, 2], [0, 2, 2, 0, 2], [2, 2, 2, 2, 2]]","[5, 3, 2, 17, 3]",22,19,3,0.033,0.033,0,"[]",0,"random",5,5,3687,0,100,100,899713,"attentional-mouselab",23,377088,0
"20","mouselab","False","[]","[[5, 4, 6, 1, 4], [3, 6, 4, 6, 3], [2, 6, 3, 2, 7], [2, 7, 4, 5, 2], [7, 5, 9, 3, 5]]","[[2, 0, 2, 0, 2], [2, 2, 2, 2, 2], [0, 2, 2, 2, 2], [2, 2, 2, 2, 0], [2, 2, 0, 2, 0]]","[4, 8, 14, 1, 3]",20,20,2,0.043,0.043,0,"[]",0,"extreme",5,5,2354,0,129,129,314092,"attentional-mouselab",24,380757,0
"21","mouselab","False","[]","[[4, 3, 4, 5, 4], [6, 10, 1, 6, 3], [7, 5, 3, 6, 6], [7, 5, 3, 4, 5], [0, 3, 5, 5, 6]]","[[2, 2, 0, 2, 2], [2, 0, 0, 2, 2], [0, 2, 2, 2, 2], [2, 2, 0, 2, 2], [0, 2, 2, 2, 2]]","[2, 3, 18, 5, 2]",24,21,1,0.052,0.052,0,"[]",0,"extreme",5,5,2825,0,157,157,171321,"attentional-mouselab",25,385398,0
"22","mouselab","False","[]","[[6, 5, 6, 6, 4], [6, 2, 5, 2, 4], [3, 7, 7, 3, 8], [6, 6, 6, 5, 5], [4, 4, 3, 0, 5]]","[[2, 2, 0, 2, 2], [0, 2, 2, 2, 2], [2, 2, 0, 2, 0], [2, 0, 0, 2, 2], [2, 2, 2, 2, 2]]","[4, 8, 4, 8, 6]",8,22,2,0.053,0.053,0,"[]",0,"greedy",5,5,2010,0,158,158,759766,"attentional-mouselab",26,388693,0
"23","mouselab","False","[]","[[4, 4, 5, 5, 2], [5, 5, 2, 5, 6], [3, 8, 6, 6, 6], [6, 5, 7, 3, 6], [7, 7, 4, 7, 7]]","[[2, 2, 2, 0, 2], [2, 2, 2, 2, 2], [0, 2, 2, 2, 0], [2, 0, 2, 2, 0], [0, 2, 2, 2, 2]]","[13, 7, 1, 3, 6]",16,23,2,0.043,0.043,0,"[]",0,"random",5,5,2665,0,130,130,963702,"attentional-mouselab",27,392738,0
"24","mouselab","False","[]","[[1, 4, 7, 7, 8], [6, 8, 4, 3, 6], [4, 4, 7, 7, 6], [4, 5, 3, 2, 5], [4, 5, 6, 5, 8]]","[[2, 0, 2, 2, 2], [2, 2, 2, 2, 0], [2, 2, 2, 2, 2], [0, 2, 0, 2, 0], [2, 0, 2, 2, 2]]","[14, 2, 9, 1, 4]",22,24,3,0.063,0.063,0,"[]",0,"random",5,5,2252,0,189,189,516350,"attentional-mouselab",28,396364,0
"25","mouselab","False","[]","[[5, 4, 5, 4, 3], [4, 6, 7, 2, 3], [5, 2, 1, 5, 2], [7, 9, 5, 8, 4], [4, 4, 6, 3, 7]]","[[0, 2, 0, 2, 2], [0, 2, 2, 2, 2], [2, 0, 2, 2, 2], [2, 2, 2, 0, 2], [0, 2, 2, 2, 2]]","[13, 10, 4, 2, 1]",22,25,0,0.048,0.048,0,"[]",0,"random",5,5,17992,0,143,143,223979,"attentional-mouselab",29,415916,0
"26","mouselab","False","[]","[[5, 0, 5, 5, 6], [4, 2, 7, 3, 7], [7, 6, 5, 5, 5], [9, 3, 5, 4, 7], [8, 5, 2, 5, 7]]","[[2, 0, 2, 2, 2], [2, 0, 2, 0, 2], [2, 2, 2, 2, 2], [0, 2, 2, 2, 2], [0, 2, 2, 0, 2]]","[5, 2, 16, 6, 1]",20,26,0,0.069,0.069,0,"[]",0,"extreme",5,5,1853,0,207,207,207390,"attentional-mouselab",30,419309,0
"27","mouselab","False","[]","[[8, 3, 7, 6, 5], [4, 4, 7, 4, 6], [4, 9, 6, 3, 7], [6, 5, 4, 5, 6], [4, 3, 4, 4, 7]]","[[2, 2, 0, 2, 2], [2, 2, 2, 2, 0], [2, 2, 2, 0, 0], [2, 2, 2, 2, 0], [2, 2, 2, 2, 0]]","[2, 7, 4, 11, 6]",12,27,4,0.063,0.063,0,"[]",0,"greedy",5,5,1725,0,188,188,887511,"attentional-mouselab",31,422947,0
"28","mouselab","False","[]","[[5, 6, 6, 6, 2], [7, 6, 3, 6, 6], [1, 8, 3, 4, 2], [4, 6, 5, 7, 5], [3, 6, 8, 7, 8]]","[[2, 2, 2, 2, 2], [0, 2, 0, 2, 2], [2, 0, 2, 2, 2], [2, 2, 2, 0, 2], [2, 2, 0, 0, 2]]","[6, 11, 9, 3, 1]",16,28,2,0.04,0.04,0,"[]",0,"greedy",5,5,3357,0,119,119,342959,"attentional-mouselab",32,427889,0
"29","mouselab","False","[]","[[3, 4, 3, 5, 4], [10, 6, 7, 6, 3], [6, 7, 5, 3, 4], [1, 5, 5, 4, 5], [4, 4, 7, 4, 6]]","[[2, 2, 2, 0, 0], [0, 2, 2, 0, 2], [2, 0, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 0]]","[7, 5, 2, 9, 7]",10,29,0,0.04,0.04,0,"[]",0,"random",5,5,1773,0,120,120,227159,"attentional-mouselab",33,431955,0
