"","type","is_practice","original_item_cost","highlight_cost","click_values","payoff_matrix","original_cost_matrix","final_cost_matrix","weights","highlight_weight","weights_deviation","trial_num","selected_option","gross_earnings","net_earnings","click_cost","uncovered_values","num_values_revealed","num_options","num_features","reaction_time","points_click_cost","points_action_utility","points_metalevel_reward","is_control","highlight_index","selected_option_highlight_value","trial_type","trial_index","time_elapsed","nudge_highlighted_values_are_even","highlight_value","maximized_highlighted_option","highlight_num_clicks","highlight_weight_check","highlight_num_reveals","participant_id","weights_sum"
"11","traffic-light-mouselab","False",3,1,"[0, 0, 0]","[[5, 4, 8, 2, 5], [5, 4, 3, 4, 6], [3, 5, 7, 3, 6]]","[[3, 3, 3, 3, 3], [1, 1, 1, 1, 1], [3, 3, 3, 3, 3]]","[[0, 3, 3, 3, 3], [1, 1, 1, 1, 1], [3, 3, 3, 3, 3]]","[15, 2, 13]",2,16,11,0,0.041,0.04,0.001,"[0]",1,5,3,8716,3,124,121,"False",1,5,"traffic-light-mouselab",15,439204,"True",5,0,0,2,0,0,30
"12","traffic-light-mouselab","False",3,1,"[8, 6]","[[5, 7, 6, 7, 4], [5, 3, 4, 5, 1], [5, 4, 4, 4, 3]]","[[3, 3, 3, 3, 3], [1, 1, 1, 1, 1], [3, 3, 3, 3, 3]]","[[3, 3, 3, 3, 3], [1, 0, 1, 0, 1], [3, 3, 3, 3, 3]]","[20, 8, 2]",8,20,12,3,0.063,0.0623333333333333,0.000666666666666667,"[8, 6]",2,5,3,9140,2,188,186,"False",1,5,"traffic-light-mouselab",16,450697,"True",5,1,2,8,2,0,30
"13","traffic-light-mouselab","False",3,1,"[5, 5, 5]","[[5, 2, 5, 6, 3], [8, 6, 4, 3, 6], [3, 5, 9, 7, 4]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[3, 3, 3, 3, 3], [0, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[5, 17, 8]",17,14,13,0,0.062,0.061,0.001,"[5]",1,5,3,8184,3,185,182,"True",1,8,"traffic-light-mouselab",17,460585,"True",8,1,3,17,1,0,30
"14","traffic-light-mouselab","False",3,1,"[0, 2, 4]","[[6, 6, 7, 7, 9], [5, 7, 7, 3, 3], [4, 6, 7, 3, 4]]","[[1, 1, 1, 1, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[0, 1, 0, 1, 0], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[24, 2, 4]",24,28,14,4,0.079,0.078,0.001,"[0, 2, 4]",3,5,3,4784,3,238,235,"False",0,9,"traffic-light-mouselab",18,467978,"True",9,1,3,24,3,0,30
"15","traffic-light-mouselab","False",3,1,"[5, 7, 9]","[[4, 4, 5, 9, 7], [5, 3, 3, 4, 7], [4, 4, 2, 3, 6]]","[[3, 3, 3, 3, 3], [1, 1, 1, 1, 1], [3, 3, 3, 3, 3]]","[[3, 3, 3, 3, 3], [0, 1, 0, 1, 0], [3, 3, 3, 3, 3]]","[3, 26, 1]",26,32,15,4,0.07,0.069,0.001,"[5, 7, 9]",3,5,3,6100,3,209,206,"False",1,7,"traffic-light-mouselab",19,475671,"True",7,1,3,26,3,0,30
"16","traffic-light-mouselab","False",3,1,"[5, 7, 9]","[[4, 4, 5, 3, 8], [6, 8, 5, 5, 7], [3, 4, 4, 3, 2]]","[[3, 3, 3, 3, 3], [1, 1, 1, 1, 1], [3, 3, 3, 3, 3]]","[[3, 3, 3, 3, 3], [0, 1, 0, 1, 0], [3, 3, 3, 3, 3]]","[8, 12, 10]",12,4,16,4,0.056,0.055,0.001,"[5, 7, 9]",3,5,3,7751,3,168,165,"False",1,7,"traffic-light-mouselab",20,484879,"True",7,0,3,12,3,0,30
"17","traffic-light-mouselab","False",3,1,"[10, 10, 10, 11, 11, 11, 14, 14, 14]","[[4, 5, 4, 4, 6], [8, 4, 5, 6, 1], [3, 3, 8, 3, 6]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [0, 0, 3, 3, 0]]","[7, 1, 22]",7,24,17,4,0.058,0.055,0.003,"[10, 11, 14]",3,5,3,11168,9,175,166,"True",0,6,"traffic-light-mouselab",21,497524,"True",6,1,0,7,0,0,30
"18","traffic-light-mouselab","False",3,1,"[10, 10, 10, 12, 12, 12]","[[3, 6, 6, 6, 2], [6, 4, 7, 8, 3], [5, 6, 8, 4, 4]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [0, 3, 0, 3, 3]]","[4, 3, 23]",3,26,18,2,0.076,0.074,0.002,"[10, 12]",2,5,3,8012,6,229,223,"True",1,7,"traffic-light-mouselab",22,507512,"True",7,0,0,3,0,0,30
"19","traffic-light-mouselab","False",3,1,"[0, 3, 4, 1]","[[7, 6, 6, 6, 4], [4, 7, 6, 6, 3], [4, 2, 4, 5, 3]]","[[1, 1, 1, 1, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[0, 0, 1, 0, 0], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[4, 21, 5]",4,22,19,0,0.044,0.0426666666666667,0.00133333333333333,"[0, 3, 4, 1]",4,5,3,7511,4,132,128,"False",0,7,"traffic-light-mouselab",23,516392,"True",7,1,4,4,4,0,30
"20","traffic-light-mouselab","False",3,1,"[10, 10, 10, 12, 12, 12]","[[4, 3, 5, 6, 6], [6, 4, 9, 3, 8], [5, 5, 4, 5, 5]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [0, 3, 0, 3, 3]]","[4, 1, 25]",25,30,20,0,0.049,0.047,0.002,"[10, 12]",2,5,3,5669,6,147,141,"True",2,5,"traffic-light-mouselab",24,523257,"True",5,1,6,25,2,0,30
"21","traffic-light-mouselab","False",3,1,"[10, 10, 10, 12, 12, 12]","[[3, 8, 7, 6, 6], [7, 4, 7, 4, 6], [5, 7, 4, 5, 5]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [0, 3, 0, 3, 3]]","[2, 1, 27]",27,34,21,4,0.051,0.049,0.002,"[10, 12]",2,5,3,6943,6,153,147,"True",2,5,"traffic-light-mouselab",25,531927,"True",5,0,6,27,2,0,30
"22","traffic-light-mouselab","False",3,1,"[5, 7]","[[8, 3, 8, 5, 2], [4, 2, 7, 4, 4], [6, 9, 7, 7, 4]]","[[3, 3, 3, 3, 3], [1, 1, 1, 1, 1], [3, 3, 3, 3, 3]]","[[3, 3, 3, 3, 3], [0, 1, 0, 1, 1], [3, 3, 3, 3, 3]]","[13, 10, 7]",10,6,22,2,0.074,0.0733333333333333,0.000666666666666667,"[5, 7]",2,5,3,3990,2,223,221,"False",1,7,"traffic-light-mouselab",26,537664,"True",7,1,2,10,2,0,30
"23","traffic-light-mouselab","False",3,1,"[6, 6, 6]","[[4, 6, 6, 5, 1], [5, 2, 4, 2, 4], [4, 5, 3, 6, 5]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[3, 3, 3, 3, 3], [3, 0, 3, 3, 3], [3, 3, 3, 3, 3]]","[1, 23, 6]",23,26,23,3,0.029,0.028,0.001,"[6]",1,5,3,6959,3,87,84,"True",1,2,"traffic-light-mouselab",27,545854,"True",2,0,3,23,1,0,30
"24","traffic-light-mouselab","False",3,1,"[]","[[5, 6, 7, 2, 5], [5, 7, 3, 3, 6], [5, 4, 5, 2, 9]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[6, 11, 13]",11,8,24,1,0.055,0.055,0,"[]",0,5,3,1770,0,165,165,"True",1,7,"traffic-light-mouselab",28,549167,"True",7,1,0,11,0,0,30
"25","traffic-light-mouselab","False",3,1,"[]","[[6, 7, 6, 4, 5], [8, 4, 5, 3, 8], [6, 4, 0, 7, 6]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[1, 19, 10]",19,18,25,2,0.034,0.034,0,"[]",0,5,3,2194,0,101,101,"True",1,5,"traffic-light-mouselab",29,553859,"True",5,0,0,19,0,0,30
"26","traffic-light-mouselab","False",3,1,"[0, 2, 4]","[[4, 1, 5, 5, 4], [4, 4, 6, 5, 7], [7, 6, 5, 6, 7]]","[[1, 1, 1, 1, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[0, 1, 0, 1, 0], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[28, 1, 1]",28,36,26,2,0.05,0.049,0.001,"[0, 2, 4]",3,5,3,5201,3,151,148,"False",0,5,"traffic-light-mouselab",30,560588,"True",5,1,3,28,3,0,30
"27","traffic-light-mouselab","False",3,1,"[0, 0, 0]","[[0, 7, 10, 1, 4], [3, 4, 5, 4, 8], [4, 2, 5, 4, 0]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[0, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[15, 5, 10]",15,10,27,3,0.025,0.024,0.001,"[0]",1,5,3,11576,3,75,72,"True",0,1,"traffic-light-mouselab",31,573343,"True",1,0,3,15,1,0,30
"28","traffic-light-mouselab","False",3,1,"[11, 11, 11]","[[6, 3, 3, 6, 8], [7, 7, 2, 7, 5], [4, 5, 4, 4, 7]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 0, 3, 3, 3]]","[6, 9, 15]",9,10,28,1,0.052,0.051,0.001,"[11]",1,5,3,5214,3,156,153,"True",1,7,"traffic-light-mouselab",32,580263,"True",7,1,0,9,0,0,30
"29","traffic-light-mouselab","False",3,1,"[5, 5, 5]","[[5, 8, 6, 7, 2], [5, 6, 5, 6, 5], [7, 7, 5, 5, 4]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[3, 3, 3, 3, 3], [0, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[7, 21, 2]",21,22,29,0,0.051,0.05,0.001,"[5]",1,5,3,4030,3,154,151,"True",1,5,"traffic-light-mouselab",33,585412,"True",5,0,3,21,1,0,30
"30","traffic-light-mouselab","False",3,1,"[1]","[[6, 8, 6, 4, 3], [8, 5, 5, 4, 5], [8, 3, 7, 1, 4]]","[[1, 1, 1, 1, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[1, 0, 1, 1, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[18, 10, 2]",18,16,30,1,0.067,0.0666666666666667,0.000333333333333333,"[1]",1,5,3,2629,1,200,199,"False",0,8,"traffic-light-mouselab",34,589861,"True",8,1,1,18,1,0,30
"31","traffic-light-mouselab","True",3,1,"[0, 0, 0, 11, 11, 11, 3, 3, 3, 13, 13, 13, 14, 14, 14, 5, 5, 5, 10, 10, 10, 7, 7, 7, 4, 4, 4, 12, 12, 12, 8, 8, 8, 9, 9, 9, 0, 1, 1, 1, 2, 2, 2, 6, 6, 6]","[[8, 6, 4, 5, 3], [6, 6, 4, 5, 6], [5, 6, 5, 4, 7]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0]]","[7, 6, 17]",6,14,1,0,0.059,0.044,0.015,"[0, 11, 3, 13, 14, 5, 10, 7, 4, 12, 8, 9, 1, 2, 6]",15,5,3,46709,45,177,132,"True",1,6,"traffic-light-mouselab",4,210410,"False",6,1,15,6,5,1,30
"32","traffic-light-mouselab","True",3,1,"[0, 4, 1, 2, 3, 5, 5, 5]","[[8, 3, 5, 6, 4], [6, 4, 7, 4, 5], [4, 9, 4, 5, 6]]","[[1, 1, 1, 1, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[0, 0, 0, 0, 0], [0, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[13, 12, 5]",13,10,2,0,0.065,0.0623333333333333,0.00266666666666667,"[0, 4, 1, 2, 3, 5]",6,5,3,18269,8,196,188,"False",0,8,"traffic-light-mouselab",5,232280,"False",8,1,5,13,5,1,30
"33","traffic-light-mouselab","False",3,1,"[0, 1, 2, 3, 4]","[[5, 6, 5, 6, 8], [3, 4, 5, 5, 4], [7, 3, 4, 6, 6]]","[[1, 1, 1, 1, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[0, 0, 0, 0, 0], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[13, 10, 7]",13,6,3,4,0.062,0.0603333333333333,0.00166666666666667,"[0, 1, 2, 3, 4]",5,5,3,7322,5,186,181,"False",0,8,"traffic-light-mouselab",7,245363,"False",8,1,5,13,5,1,30
"34","traffic-light-mouselab","False",3,1,"[10, 10, 10, 11, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 14]","[[5, 7, 3, 5, 1], [5, 5, 3, 6, 3], [6, 4, 4, 5, 4]]","[[1, 1, 1, 1, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[1, 1, 1, 1, 1], [3, 3, 3, 3, 3], [0, 0, 0, 0, 0]]","[1, 9, 20]",1,20,4,0,0.057,0.052,0.005,"[10, 11, 12, 13, 14]",5,5,3,12308,15,170,155,"False",0,5,"traffic-light-mouselab",8,259742,"False",5,0,0,1,0,1,30
"35","traffic-light-mouselab","False",3,1,"[0, 0, 0, 5, 1, 1, 1, 6, 2, 2, 2, 3, 3, 3, 4, 4, 4]","[[9, 2, 4, 4, 5], [4, 7, 7, 5, 10], [5, 8, 4, 5, 5]]","[[3, 3, 3, 3, 3], [1, 1, 1, 1, 1], [3, 3, 3, 3, 3]]","[[0, 0, 0, 0, 0], [0, 0, 1, 1, 1], [3, 3, 3, 3, 3]]","[13, 7, 10]",7,6,5,0,0.065,0.0593333333333333,0.00566666666666667,"[0, 5, 1, 6, 2, 3, 4]",7,5,3,13227,17,195,178,"False",1,4,"traffic-light-mouselab",9,276019,"False",4,0,2,7,2,1,30
"36","traffic-light-mouselab","False",3,1,"[10, 11, 12, 13, 14]","[[6, 3, 4, 8, 3], [4, 6, 6, 5, 5], [3, 5, 3, 9, 5]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [1, 1, 1, 1, 1]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [0, 0, 0, 0, 0]]","[12, 9, 9]",9,4,6,3,0.074,0.0723333333333333,0.00166666666666667,"[10, 11, 12, 13, 14]",5,5,3,8516,5,222,217,"False",2,9,"traffic-light-mouselab",10,287134,"False",9,1,5,9,5,1,30
"37","traffic-light-mouselab","False",3,1,"[5, 6, 7, 8, 9]","[[4, 5, 7, 3, 6], [5, 4, 7, 6, 8], [5, 4, 4, 7, 6]]","[[3, 3, 3, 3, 3], [1, 1, 1, 1, 1], [3, 3, 3, 3, 3]]","[[3, 3, 3, 3, 3], [0, 0, 0, 0, 0], [3, 3, 3, 3, 3]]","[2, 25, 3]",25,30,7,4,0.077,0.0753333333333333,0.00166666666666667,"[5, 6, 7, 8, 9]",5,5,3,6940,5,230,225,"False",1,8,"traffic-light-mouselab",11,295820,"False",8,1,5,25,5,1,30
"38","traffic-light-mouselab","False",3,1,"[0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4]","[[4, 8, 4, 4, 4], [4, 8, 6, 5, 6], [5, 3, 5, 6, 5]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[0, 0, 0, 0, 0], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[24, 2, 4]",4,28,8,1,0.073,0.068,0.005,"[0, 1, 2, 3, 4]",5,5,3,7097,15,220,205,"True",2,3,"traffic-light-mouselab",12,304561,"False",3,0,0,4,0,1,30
"39","traffic-light-mouselab","False",3,1,"[10, 10, 10, 11, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 14]","[[4, 6, 5, 9, 4], [6, 7, 6, 4, 6], [8, 5, 3, 6, 4]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [0, 0, 0, 0, 0]]","[4, 2, 24]",24,28,9,0,0.073,0.068,0.005,"[10, 11, 12, 13, 14]",5,5,3,6368,15,220,205,"True",2,8,"traffic-light-mouselab",13,311963,"False",8,1,15,24,5,1,30
"40","traffic-light-mouselab","False",3,1,"[0, 1, 2, 3, 4]","[[5, 3, 6, 7, 5], [7, 5, 5, 6, 5], [7, 6, 5, 7, 6]]","[[1, 1, 1, 1, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[0, 0, 0, 0, 0], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[19, 3, 8]",19,18,10,3,0.069,0.0673333333333333,0.00166666666666667,"[0, 1, 2, 3, 4]",5,5,3,4353,5,207,202,"False",0,7,"traffic-light-mouselab",14,317273,"False",7,1,5,19,5,1,30
"41","traffic-light-mouselab","False",3,1,"[10, 10, 10]","[[4, 5, 7, 8, 4], [4, 6, 5, 4, 7], [8, 8, 5, 7, 6]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [0, 3, 3, 3, 3]]","[2, 2, 26]",26,32,11,0,0.075,0.074,0.001,"[10]",1,5,3,3284,3,224,221,"True",2,8,"traffic-light-mouselab",15,323877,"False",8,1,3,26,1,1,30
"42","traffic-light-mouselab","False",3,1,"[0, 0, 0]","[[8, 5, 3, 1, 5], [3, 4, 7, 4, 6], [5, 3, 5, 4, 6]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [1, 1, 1, 1, 1]]","[[0, 3, 3, 3, 3], [3, 3, 3, 3, 3], [1, 1, 1, 1, 1]]","[14, 11, 5]",5,10,12,0,0.057,0.056,0.001,"[0]",1,5,3,4140,3,170,167,"False",2,5,"traffic-light-mouselab",16,329019,"False",5,0,0,5,0,1,30
"43","traffic-light-mouselab","False",3,1,"[10, 10, 10, 11, 11, 11, 12, 12, 12, 13, 13, 13]","[[7, 5, 4, 8, 6], [5, 4, 5, 4, 6], [4, 1, 5, 7, 5]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [0, 0, 0, 0, 3]]","[1, 9, 20]",20,20,13,3,0.061,0.057,0.004,"[10, 11, 12, 13]",4,5,3,6512,12,184,172,"True",2,7,"traffic-light-mouselab",17,336939,"False",7,1,12,20,4,1,30
"44","traffic-light-mouselab","False",3,1,"[5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9]","[[5, 1, 5, 5, 4], [3, 4, 1, 6, 3], [6, 7, 5, 2, 7]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[3, 3, 3, 3, 3], [0, 0, 0, 0, 0], [3, 3, 3, 3, 3]]","[3, 17, 10]",10,14,14,3,0.046,0.041,0.005,"[5, 6, 7, 8, 9]",5,5,3,7323,15,137,122,"True",2,2,"traffic-light-mouselab",18,345376,"False",2,0,0,10,0,1,30
"45","traffic-light-mouselab","False",3,1,"[5, 5, 5, 6, 6, 6, 7, 7, 7, 1, 1, 1]","[[5, 6, 9, 4, 8], [4, 6, 4, 5, 5], [6, 3, 4, 7, 6]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[3, 0, 3, 3, 3], [0, 0, 0, 3, 3], [3, 3, 3, 3, 3]]","[11, 12, 7]",12,6,15,1,0.053,0.049,0.004,"[5, 6, 7, 1]",4,5,3,8752,12,159,147,"True",1,6,"traffic-light-mouselab",19,354962,"False",6,1,9,12,3,1,30
"46","traffic-light-mouselab","False",3,1,"[5, 5, 5, 6, 6, 6, 8, 8, 8, 7, 7, 7, 9, 9, 9, 12, 12, 12, 10, 10, 10]","[[6, 5, 6, 2, 3], [7, 3, 6, 4, 5], [5, 6, 7, 6, 6]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[3, 3, 3, 3, 3], [0, 0, 0, 0, 0], [0, 3, 0, 3, 3]]","[4, 16, 10]",16,12,16,2,0.063,0.056,0.007,"[5, 6, 8, 7, 9, 12, 10]",7,5,3,30396,21,190,169,"True",1,6,"traffic-light-mouselab",20,387283,"False",6,0,15,16,5,1,30
"47","traffic-light-mouselab","False",3,1,"[0, 1, 2, 3, 4]","[[6, 6, 4, 4, 5], [4, 5, 5, 7, 7], [7, 5, 4, 4, 9]]","[[1, 1, 1, 1, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[0, 0, 0, 0, 0], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[21, 7, 2]",21,22,17,0,0.056,0.0543333333333333,0.00166666666666667,"[0, 1, 2, 3, 4]",5,5,3,7154,5,168,163,"False",0,6,"traffic-light-mouselab",21,395529,"False",6,1,5,21,5,1,30
